datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|
000000583|1|Farseer Skyrunner|14"|4|3+|4||5|6+|2|32mm flying base||
000000584|1|Warlock Conclave|7"|3|6+|4||2|6+|1|32mm||
000000585|1|Warlock|7"|3|6+|4||2|6+|1|25mm||
000000586|1|Warlock Skyrunner Conclave|14"|4|3+|4||3|6+|2|32mm flying base||
000000587|1|Warlock Skyrunner|14"|4|3+|4||3|6+|2|32mm flying base||
000000588|1|Spiritseer|7"|3|6+|4||3|6+|1|25mm||
000000589|1|GUARDIAN DEFENDER|7"|3|4+|-||1|6+|2|28mm||
000000589|2|HEAVY WEAPON PLATFORM|7"|3|4+|-||2|6+|0|40mm||
000000590|1|STORM GUARDIAN|7"|3|4+|-||1|6+|2|28mm||
000000590|2|SERPENT’S SCALE PLATFORM|7"|3|4+|-||2|6+|0|28mm||
000000591|1|Windriders|14"|4|3+|-||2|6+|2|32mm flying base||
000000592|1|Rangers|7"|3|5+|5|*  Models in this unit have a 5+ invulnerable save against ranged attacks.|1|6+|1|28mm||
000000593|1|DIRE AVENGER|7"|3|4+|5||1|6+|1|28mm||
000000593|2|DIRE AVENGER EXARCH|7"|3|4+|5||2|6+|1|28mm||
000000594|1|HOWLING BANSHEE|8"|3|4+|5|This invulnerable save is improved to 4+ against melee attacks.|1|6+|1|28mm||
000000594|2|HOWLING BANSHEE EXARCH|8"|3|4+|5|This invulnerable save is improved to 4+ against melee attacks.|2|6+|1|28mm||
000000595|1|STRIKING SCORPION|7"|3|3+|5||1|6+|1|28mm||
000000595|2|STRIKING SCORPION EXARCH|7"|3|3+|5||2|6+|1|28mm||
000000596|1|FIRE DRAGON|7"|3|3+|5||1|6+|1|25mm||
000000596|2|FIRE DRAGON EXARCH|7"|3|3+|5||2|6+|1|25mm||
000000597|1|Wraithguard|6"|7|2+|-||3|6+|1|40mm||
000000598|1|Wraithblades|6"|7|2+|-||3|6+|1|40mm||
000000599|1|Wave Serpent|14"|9|3+|5||13|6+|2|60mm flying base||
000000600|1|SWOOPING HAWK|14"|3|4+|5||1|6+|1|25mm||
000000600|2|SWOOPING HAWK EXARCH|14"|3|4+|5||2|6+|1|25mm||
000000601|1|WARP SPIDER|12"|3|3+|5||1|6+|1|25mm||
000000601|2|WARP SPIDER EXARCH|12"|3|3+|5||2|6+|1|25mm||
000000602|1|SHINING SPEAR|14"|4|3+|5|If this unit Advances or makes a Charge move, until the start of your next turn, this invulnerable save is improved to 4+.|2|6+|2|60mm flying base||
000000602|2|SHINING SPEAR EXARCH|14"|4|3+|5|If this unit Advances or makes a Charge move, until the start of your next turn, this invulnerable save is improved to 4+.|3|6+|2|60mm flying base||
000000603|1|Crimson Hunter|20+"|8|3+|5||12|6+|0|170 x 109mm flying base||
000000605|1|Vypers|14"|6|3+|-||6|6+|2|60mm flying base||
000000606|1|Hemlock Wraithfighter|20+"|8|3+|-||12|6+|0|170 x 109mm flying base||
000000607|1|DARK REAPER EXARCH|6"|3|3+|5||2|6+|1|28mm||
000000607|2|DARK REAPER|6"|3|3+|5||1|6+|1|28mm||
000000608|1|Support Weapons|3"|6|4+|-||5|6+|1|40mm||
000000609|1|Falcon|14"|9|3+|-||12|6+|3|60mm flying base||
000000610|1|Fire Prism|14"|9|3+|-||12|6+|3|60mm flying base||
000000611|1|Night Spinner|14"|9|3+|-||12|6+|3|60mm flying base||
000000612|1|War Walkers|10"|7|3+|4||6|6+|2|60mm||
000000613|1|Wraithlord|8"|11|2+|-||10|6+|3|60mm||
000000614|1|Wraithknight|10"|12|2+|-||18|6+|10|120 x 92mm||
000000615|1|SHADOW SPECTRE|12"|3|3+|5||1|6+|1|25mm||
000000615|2|SHADOW SPECTRE EXARCH|12"|3|3+|5||2|6+|1|25mm||
000000616|1|Wasp Assault Walker|10"|7|3+|4||6|6+|2|60mm||
000000617|1|Wraithseer|8"|11|2+|5||10|6+|3|60mm||
000000618|1|Hornet|14"|7|3+|-||8|6+|2|60mm||
000000619|1|Warp Hunter|14"|9|3+|-||12|6+|3|Use model||
000000620|1|Lynx|14"|9|3+|5||16|6+|4|Use model||
000000621|1|Scorpion|14"|11|2+|5||24|6+|8|Use model||
000000622|1|Cobra|14"|11|2+|5||24|6+|8|Use model||
000000623|1|Nightwing|20+"|8|3+|5||12|6+|0|120 x 92mm flying base||
000000624|1|Phoenix|20+"|9|3+|-||16|6+|0|120 x 92mm flying base||
000000625|1|Vampire Raider|20+"|12|3+|4*|Against ranged attacks only|30|6+|0|170 x 109mm flying base||
000000626|1|Vampire Hunter|20+"|12|3+|4*|Against ranged attacks only|30|6+|0|170 x 109mm flying base||
000000627|1|Skathach Wraithknight|10"|12|2+|-||18|6+|10|120 x 92mm||
000000628|1|Revenant Titan|16"|13|2+|4|* Against ranged attacks only|30|6+|16|Use model||
000000629|1|Corsair Cloud Dancer Band|14"|4|3+|-||2|6+|2|32mm flying base||
000000630|1|Irillyth|12"|3|2+|4||5|6+|1|25mm||
000000631|1|Phantom Titan|14"|14|2+|4|* Against ranged attacks only|55|6+|20|Use model||
000000632|1|Corsair Reaver Band|7"|3|5+|-||3|6+|2|25mm||
000000633|1|Corsair Skyreaver Band|14"|3|5+|-||3|6+|1|25mm||
000000634|1|Archon|8"|3|4+|2|You cannot re-roll invulnerable saving throws made for this model. The first time an invulnerable saving throw made for this model is failed, until the end of the battle, this model has no invulnerable saving throw.|4|6+|1|25mm||
000000639|1|Succubus|8"|3|6+|4||4|6+|1|25mm||
000000640|1|Lelith Hesperax|8"|3|6+|4||4|6+|1|32mm||
000000641|1|Haemonculus|7"|4|6+|6||5|6+|1|25mm||
000000642|1|Urien Rakarth|7"|4|6+|4||5|6+|1|25mm||
000000643|1|Drazhar|7"|3|2+|4||5|6+|1|40mm||
000000644|1|Kabalite Warriors|8"|3|4+|6||1|6+|2|25mm||
000000646|1|Wyches|8"|3|6+|6|*  The invulnerable save that models in this unit have is improved to a 4+ against melee attacks.|1|6+|2|25mm||
000000648|1|Incubi|7"|3|3+|5||1|6+|1|28mm||
000000648|2|KLAIVEX|7"|3|3+|5||2|6+|1|28mm||
000000649|1|Mandrakes|8"|3|7+|5||1|6+|1|25mm||
000000650|1|Wracks|7"|4|6+|6||1|6+|2|25mm||
000000651|1|Grotesques|7"|5|6+|6||4|6+|1|40mm||
000000652|1|BEASTMASTER|12"|4|6+|6||3|6+|1|32mm flying base||
000000652|2|CLAWED FIEND |12"|4|6+|6||5|8+|1|40mm||
000000652|3|KHYMERAE|12"|4|6+|6||2|8+|1|40mm||
000000652|4|RAZORWING FLOCK|12"|4|6+|6||3|8+|1|40mm||
000000656|1|Raider|14"|8|4+|6||10|6+|2|60mm flying base||
000000657|1|Venom|14"|6|4+|6||6|6+|1|60mm flying base||
000000658|1|Reavers|16"|4|4+|6||2|6+|2|32mm flying base||
000000659|1|Hellions|14"|4|5+|6||2|6+|1|32mm flying base||
000000660|1|Razorwing Jetfighter|20+"|8|4+|6||10|6+|0|120 x 92mm flying base||
000000661|1|Voidraven Bomber|20+"|9|4+|6||12|6+|0|120 x 92mm flying base||
000000662|1|Scourges|14"|3|4+|5||1|6+|1|32mm||
000000663|1|Talos|7"|7|3+|6||7|6+|2|60mm flying base||
000000664|1|Cronos|7"|7|3+|6||7|6+|2|60mm flying base||
000000665|1|Ravager|14"|9|4+|6||11|6+|3|Use model||
000000666|1|Reaper|14"|9|4+|6||11|6+|3|Use model||
000000667|1|Tantalus|16"|10|4+|5||18|6+|5|Use model||
000000680|1|Tank Commander|10"|11|2+|-||13|7+|3|Use model||
000000684|1|GUARDSMAN|6"|3|5+|-||1|7+|2|25mm||
000000684|2|HEAVY WEAPONS TEAM|6"|3|5+|-||2|7+|4|50mm||
000000686|1|Heavy Weapons Squad|6"|3|5+|-||2|7+|2|50mm||
000000690|1|Scout Sentinels|10"|7|3+|-||7|7+|2|80mm||
000000691|1|Armoured Sentinels|8"|8|2+|-||7|7+|2|80mm||
000000692|1|Chimera|10"|9|3+|-||11|7+|2|Use model||
000000693|1|Taurox|12"|8|3+|-||10|7+|2|Use model||
000000694|1|Hellhound|10"|10|2+|-||11|7+|3|Use model||
000000695|1|Basilisk|10"|9|3+|-||11|7+|3|Use model||
000000696|1|Hydra|10"|9|3+|-||11|7+|3|Use model||
000000697|1|Wyvern|10"|9|3+|-||11|7+|3|Use model||
000000698|1|Manticore|10"|10|3+|-||11|7+|3|Use model||
000000699|1|Deathstrike|10"|10|3+|-||11|7+|3|Use model||
000000700|1|Leman Russ Battle Tank|10"|11|2+|-||13|7+|3|Use model||
000000701|1|Leman Russ Demolisher|10"|11|2+|-||13|7+|3|Use model||
000000702|1|Baneblade|9"|13|2+|-||24|7+|8|Use model||
000000703|1|Banehammer|9"|13|2+|-||24|7+|8|Use model||
000000704|1|Banesword|9"|13|2+|-||24|7+|8|Use model||
000000705|1|Doomhammer|9"|13|2+|-||24|7+|8|Use model||
000000706|1|Hellhammer|9"|13|2+|-||24|7+|8|Use model||
000000707|1|Shadowsword|9"|13|2+|-||24|7+|8|Use model||
000000708|1|Stormlord|9"|13|2+|-||24|7+|8|Use model||
000000709|1|Stormsword|9"|13|2+|-||24|7+|8|Use model||
000000713|1|‘Iron Hand’ Straken|6"|3|3+|4||4|7+|1|25mm||
000000714|1|Sergeant Harker|6"|4|5+|-||3|7+|1|25mm||
000000716|1|Commissar|6"|3|5+|5||3|6+|1|28mm||
000000719|1|TEMPESTUS SCION|6"|3|4+|-||1|7+|1|25mm||
000000719|2|TEMPESTOR PRIME|6"|3|4+|-||3|7+|1|25mm||
000000721|1|Taurox Prime|12"|8|3+|-||10|7+|2|Use model||
000000722|1|Ogryn Squad|6"|6|5+|-||3|7+|1|40mm||
000000723|1|Bullgryn Squad|6"|6|4+|-||3|7+|1|40mm||
000000724|1|Ratlings|6"|2|6+|-||1|8+|1|25mm||
000000725|1|Nork Deddog|6"|6|4+|-||6|7+|1|40mm||
000000727|1|Valkyrie|20+"|10|2+|-||14|7+|0|120 x 92mm flying base||
000000728|1|Atlas Recovery Vehicle|10"|9|3+|-||10|7+|3|Use model||
000000729|1|Salamander Command Vehicle|12"|8|3+|-||10|7+|3|Use model||
000000730|1|Hades Breaching Drill|6"|9|3+|-||8|7+|2|Use model||
000000731|1|Centaur Light Carrier|10"|7|3+|-||7|7+|1|Use model||
000000733|1|Trojan Support Vehicle|10"|9|3+|-||11|7+|2|Use model||
000000735|1|Salamander Scout Vehicle|12"|8|3+|-||10|7+|3|Use model||
000000736|1|Tauros Assault Vehicle|12"|6|4+|-||6|7+|2|Use model||
000000737|1|Tauros Venator|12"|6|4+|-||6|7+|2|Use model||
000000739|1|Armageddon-pattern Medusa|10"|9|3+|-||11|7+|3|Use model||
000000740|1|Colossus|10"|10|2+|-||11|7+|3|Use model||
000000741|1|Cyclops Demolition Vehicle|8"|4|3+|-||4|8+|0|Use model||
000000743|1|Earthshaker Carriage Battery|4"|7|4+|-||6|7+|2|Use model||
000000744|1|Griffon Mortar Carrier|10"|9|3+|-||11|7+|3|Use model||
000000745|1|Heavy Mortar Team|4"|5|3+|-||4|7+|2|Use model||
000000746|1|Heavy Quad Launcher Team|4"|5|3+|-||4|7+|2|Use model||
000000747|1|Hydra Platform|-|8|3+|-||8|7+|2|Use model||
000000751|1|Malcador Annihilator|10"|11|2+|-||18|7+|5|Use model||
000000752|1|Malcador Defender|10"|11|2+|-||18|7+|5|Use model||
000000753|1|Malcador|10"|11|2+|-||18|7+|5|Use model||
000000754|1|Malcador Infernus|10"|11|2+|-||18|7+|5|Use model||
000000755|1|Manticore Platform|-|8|3+|-||8|7+|2|Use model||
000000756|1|Medusa Carriage Battery|4"|7|4+|-||6|7+|2|Use model||
000000757|1|Rapier Laser Destroyer Battery|6"|4|4+|-||3|7+|1|Use model||
000000758|1|Sabre Weapons Battery|-|4|4+|-||4|7+|1|Use model||
000000759|1|Sentinel Powerlifter|8"|7|3+|-||6|7+|2|Use model||
000000760|1|Stygies Destroyer Tank Hunter|10"|11|2+|-||13|7+|3|Use model||
000000762|1|Tarantula Battery|-|5|3+|-||4|7+|0|Use model||
000000763|1|Stormblade|9"|13|2+|-||24|7+|8|Use model||
000000764|1|Arkurian Stormhammer|9"|13|2+|-||24|7+|8|Use model||
000000766|1|Crassus|10"|11|2+|-||18|7+|5|Use model||
000000767|1|Dominus Armoured Siege Bombard|9"|13|2+|-||20|7+|8|Use model||
000000768|1|Gorgon Heavy Transport|9"|13|2+|5|Against ranged attacks only|20|7+|8|Use model||
000000769|1|Macharius|9"|13|2+|-||20|7+|8|Use model||
000000770|1|Macharius Omega|9"|13|2+|-||20|7+|8|Use model||
000000771|1|Macharius Vanquisher|9"|13|2+|-||20|7+|8|Use model||
000000772|1|Macharius Vulcan|9"|13|2+|-||20|7+|8|Use model||
000000773|1|Marauder Bomber|20+"|10|2+|-||20|7+|0|Use model||
000000774|1|Marauder Destroyer|20+"|10|2+|-||20|7+|0|Use model||
000000775|1|Minotaur|10"|11|2+|-||18|7+|5|Use model||
000000776|1|Praetor|10"|11|2+|-||18|7+|5|Use model||
000000777|1|Valdor|9"|13|2+|-||20|7+|8|Use model||
000000778|1|Aquila Lander|20+"|9|3+|-||12|7+|0|120 x 92mm flying base||
000000779|1|Arvus Lighter|20+"|8|3+|-||8|7+|0|120 x 92mm flying base||
000000780|1|Avenger Strike Fighter|20+"|9|3+|-||14|7+|0|120 x 92mm flying base||
000000781|1|Voss-pattern Lightning|20+"|9|3+|-||14|7+|0|120 x 92mm flying base||
000000783|1|Vendetta Gunship|20+"|10|2+|-||14|7+|0|120 x 92mm flying base||
000000784|1|Vulture Gunship|20+"|10|2+|-||14|7+|0|120 x 92mm flying base||
000000785|1|Imperial Fortress Walls|-|14|2+|-||80|7+|0|Use model||
000000786|1|Primaris Redoubt|-|12|3+|5||18|7+|0|Use model||
000000838|1|Belisarius Cawl|8"|8|2+|4||10|6+|3|105 x 70mm||
000000839|1|Tech-priest Dominus|6"|4|2+|5||4|7+|1|50mm||
000000840|1|Tech-priest Enginseer|6"|4|3+|5||3|7+|1|32mm||
000000841|1|Kataphron Breachers|5"|7|3+|6||3|7+|1|60mm||
000000842|1|Kataphron Destroyers|5"|6|3+|6||3|7+|1|60mm||
000000843|1|Fulgurite Electro-priests|6"|3|7+|5||1|7+|1|32mm||
000000844|1|Corpuscarii Electro-priests|6"|3|7+|5||1|7+|1|32mm||
000000845|1|Kastelan Robots|6"|9|2+|5||7|7+|2|60mm||
000000846|1|Cybernetica Datasmith|6"|4|2+|5||3|7+|1|32mm||
000000847|1|Servitors|6"|3|4+|6||1|8+|0|25mm||
000000848|1|Skitarii Rangers|6"|3|4+|5||1|7+|2|25mm|60 x 35mm if equipped with transuranic arquebus|
000000849|1|Skitarii Vanguard|6"|3|4+|5||1|7+|2|25mm|60 x 35mm if equipped with transuranic arquebus|
000000850|1|Sicarian Infiltrators|8"|4|4+|5||2|7+|1|40mm||
000000851|1|Sicarian Ruststalkers|8"|4|4+|5||2|7+|1|40mm||
000000852|1|Ironstrider Ballistarii|10"|7|3+|5||7|7+|2|105 x 70mm||
000000853|1|Sydonian Dragoons|10"|7|3+|5||7|7+|2|105 x 70mm||
000000854|1|Onager Dunecrawler|8"|10|2+|4||11|7+|3|130mm||
000000855|1|Knight Paladin|10"|12|3+|5|* This model has a 5+ invulnerable save against ranged attacks.|22|6+|10|170 x 109mm||
000000856|1|Knight Errant|10"|12|3+|5|* This model has a 5+ invulnerable save against ranged attacks.|22|6+|10|170 x 109mm||
000000857|1|Knight Warden|10"|12|3+|5|* This model has a 5+ invulnerable save against ranged attacks.|22|6+|10|170 x 109mm||
000000858|1|Knight Gallant|12"|12|3+|5|* This model has a 5+ invulnerable save against ranged attacks.|22|6+|10|170 x 109mm||
000000859|1|Knight Crusader|10"|12|3+|5|* This model has a 5+ invulnerable save against ranged attacks.|22|6+|10|170 x 109mm||
000000860|1|Acastus Knight Porphyrion|8"|13|2+|5|* Against ranged attacks only|30|6+|10|Use model||
000000861|1|Cerastus Knight Acheron|12"|12|3+|5|* Against ranged attacks only|25|6+|10|170 x 109mm||
000000862|1|Cerastus Knight Atrapos|12"|12|3+|5||25|6+|10|170 x 109mm||
000000863|1|Cerastus Knight Castigator|12"|12|3+|5|* Against ranged attacks only|25|6+|10|170 x 109mm||
000000864|1|Cerastus Knight Lancer|14"|12|3+|4||25|6+|10|170 x 109mm||
000000865|1|Questoris Knight Magaera|10"|12|3+|5||22|6+|10|170 x 109mm||
000000866|1|Questoris Knight Styrix|10"|12|3+|5||22|6+|10|170 x 109mm||
000000867|1|Warhound Titan|14"|13|2+|5|* Against ranged attacks only|40|6+|16|Use model||
000000868|1|Reaver Titan|12"|14|2+|5|* Against ranged attacks only|60|6+|20|Use model||
000000869|1|Warlord Titan|10"|16|2+|5|* Against ranged attacks only|100|6+|30|Use model||
000000870|1|Vindicare Assassin|7"|4|6+|4||4|6+|1|32mm||
000000871|1|Callidus Assassin|7"|4|6+|4||4|6+|1|32mm||
000000872|1|Eversor Assassin|9"|4|6+|4||4|6+|1|32mm||
000000873|1|Culexus Assassin|7"|4|6+|4||4|6+|1|32mm||
000000874|1|Inquisitor Greyfax|6"|3|3+|5||4|6+|1|32mm||
000000875|1|Inquisitor Karamazov|8"|9|3+|4||10|6+|3|60mm||
000000876|1|Inquisitor Coteaz|6"|3|2+|4||4|6+|1|40mm|Glovodan psyber-eagle 40mm|
000000877|1|Inquisitor|6"|3|4+|5||4|6+|1|25mm||
000000882|1|Custodian Guard|6"|6|2+|4||3|6+|2|40mm||
000000883|1|Venerable Contemptor Dreadnought|6"|9|2+|5||10|6+|3|60mm||
000000884|1|Venerable Land Raider|10"|12|2+|-||16|6+|5|Use model||
000000889|1|Primaris Psyker|6"|3|5+|-||3|7+|1|32mm||
000000894|1|Crusaders|6"|3|3+|4||2|7+|1|25mm||
000000895|1|Death Cult Assassins|7"|3|5+|5||2|7+|1|25mm||
000000896|1|Arco-flagellants|7"|3|7+|6||2|8+|1|25mm||
000000897|1|Penitent Engines|8"|6|4+|6||5|7+|2|50mm||
000000898|1|CELESTINE|12"|3|2+|4||5|6+|1|40mm||
000000898|2|GEMINAE SUPERIA|12"|3|2+|4||2|7+|1|32mm||
000000899|1|Canoness|6"|3|3+|4||4|7+|1|32mm||
000000900|1|Imagifier|6"|3|3+|4||3|6+|1|32mm||
000000901|1|Hospitaller|6"|3|3+|6||3|7+|1|50mm||
000000902|1|Dialogus|6"|3|3+|4||3|6+|1|40mm||
000000903|1|Battle Sisters Squad|6"|3|3+|6||1|7+|2|32mm||
000000904|1|Seraphim Squad|12"|3|3+|5||1|7+|1|32mm||
000000907|1|REPENTIA SUPERIOR|7"|3|3+|6||1|7+|1|32mm||
000000907|2|SISTERS REPENTIA|7"|3|7+|6||1|8+|1|28mm||
000000908|1|Retributor Squad|6"|3|3+|6||1|7+|1|32mm||
000000909|1|Dominion Squad|6"|3|3+|6||1|7+|1|32mm||
000000910|1|Sororitas Rhino|12"|9|3+|6||10|7+|2|Use model||
000000911|1|Immolator|12"|10|3+|6||11|7+|2|Use model||
000000912|1|Exorcist|10"|10|3+|6||11|7+|3|Use model||
000000914|1|Bastion|-|13|2+|-||18|7+|0|Use model||
000000917|1|Vengeance Weapon Battery|-|13|2+|-||10|7+|0|Use model||
000000918|1|Firestorm Redoubt|-|13|2+|-||18|7+|0|Use model||
000000919|1|Plasma Obliterator|-|13|2+|-||18|7+|0|Use model||
000000920|1|Macro-cannon Aquila Strongpoint|-|13|2+|-||30|7+|0|Use model||
000000921|1|Vortex Missile Strongpoint|-|13|2+|-||30|7+|0|Use model||
000000922|1|Void Shield Generator|-|12|3+|4||16|7+|0|Use model||
000000923|1|Skyshield Landing Pad|-|12|3+|5||16|7+|0|Use model||
000000924|1|Abaddon The Despoiler|5"|5|2+|4||9|5+|4|60mm||
000000925|1|Huron Blackheart|6"|4|3+|4||5|6+|1|25mm||
000000926|1|Cypher|6"|4|3+|4||5|6+|1|32mm||
000000928|1|FABIUS BILE|6"|4|3+|-||5|6+|1|40mm||
000000928|2|SURGEON ACOLYTE|6"|4|6+|-||1|7+|1|32mm||
000000929|1|Chaos Lord|6"|4|3+|4||5|6+|1|40mm||
000000930|1|Chaos Lord In Terminator Armour|5"|5|2+|4||6|6+|1|40mm||
000000931|1|Chaos Lord On Bike|12"|5|3+|4||6|6+|2|75 x 25mm||
000000932|1|Chaos Lord On Juggernaut|10"|6|2+|4||7|6+|2|90 x 52mm||
000000933|1|Chaos Lord On Disc Of Tzeentch|12"|4|3+|4||6|6+|1|40mm||
000000934|1|Chaos Lord On Palanquin Of Nurgle|5"|5|3+|4||8|6+|2|60mm||
000000935|1|Chaos Lord On Steed Of Slaanesh|14"|5|3+|4||6|6+|2|No official base size|Use the Chaos Daemon's Seeker base size (60 x 35mm)?|
000000936|1|DARK APOSTLE|6"|4|3+|4||4|5+|1|40mm||
000000936|2|DARK DISCIPLE|6"|4|6+|4||1|7+|1|25mm||
000000937|1|Heretic Astartes Daemon Prince|8"|10|2+|4||10|6+|3|60mm||
000000938|1|Sorcerer|6"|4|3+|-||4|6+|1|40mm||
000000939|1|Sorcerer In Terminator Armour|5"|5|2+|4||5|6+|1|40mm||
000000940|1|Sorcerer On Bike|12"|5|3+|-||5|6+|2|75 x 25mm||
000000941|1|Sorcerer On Disc Of Tzeentch|12"|4|3+|-||5|6+|1|40mm||
000000942|1|Sorcerer On Palanquin Of Nurgle|5"|5|3+|-||7|6+|2|60mm||
000000943|1|Sorcerer On Steed Of Slaanesh|14"|5|3+|-||5|6+|2|No official base size|Use the Chaos Daemon's Seeker base size (60 x 35mm)?|
000000944|1|Warpsmith|6"|4|2+|-||4|6+|1|60 x 35mm||
000000946|1|Cultist Mob|6"|3|6+|-||1|7+|1|25mm||
000000947|1|Chaos Terminator Squad|5"|5|2+|4||3|6+|1|40mm||
000000951|1|Noise Marines|6"|4|3+|-||2|6+|1|32mm||
000000952|1|Chosen|6"|4|3+|-||3|6+|1|32mm||
000000953|1|Possessed|9"|6|3+|5||3|6+|1|40mm||
000000954|1|Helbrute|6"|9|2+|-||8|6+|3|60mm||
000000955|1|Mutilators|4"|7|2+|5||4|6+|2|40mm||
000000956|1|Chaos Rhino|12"|9|3+|-||10|6+|2|Use model||
000000957|1|Chaos Bikers|12"|5|3+|-||3|6+|2|75 x 42mm||
000000958|1|Raptors|12"|4|3+|-||2|6+|1|32mm||
000000959|1|Warp Talons|12"|4|3+|5||2|6+|1|32mm||
000000960|1|Chaos Spawn|8"|5|4+|-||4|7+|0|50mm||
000000961|1|Heldrake|20+"|9|3+|5||12|6+|0|120 x 92mm flying base||
000000962|1|Chaos Land Raider|10"|12|2+|-||16|6+|5|Use model||
000000963|1|Chaos Predator Destructor|10"|10|3+|-||11|6+|3|Use model||
000000964|1|Chaos Vindicator|9"|11|2+|-||11|6+|3|Use model||
000000965|1|Obliterators|4"|7|2+|5||5|6+|2|50mm||
000000966|1|Havocs|5"|5|3+|-||2|6+|1|40mm||
000000967|1|Forgefiend|8"|10|3+|5||12|6+|3|120 x 92mm||
000000968|1|Maulerfiend|10"|10|3+|5||12|6+|3|120 x 92mm||
000000969|1|Defiler|8"|10|3+|5||14|6+|5|Use model||
000000970|1|Khorne Lord Of Skulls|8"|13|3+|5||24|6+|8|Use model||
000001016|1|Thousand Sons Sorcerer|6"|4|3+|5||4|6+|1|32mm||
000001017|1|Thousand Sons Sorcerer In Terminator Armour|5"|5|2+|4||5|6+|1|40mm||
000001019|1|Thousand Sons Cultists|6"|3|6+|6||1|7+|1|25mm||
000001020|1|Rubric Marines|5"|4|3+|5||2|6+|2|32mm||
000001021|1|Thousand Sons Helbrute|6"|9|2+|5||8|6+|3|60mm||
000001022|1|Thousand Sons Rhino|12"|9|3+|-||10|6+|2|Use model||
000001023|1|Thousand Sons Chaos Spawn|8"|5|4+|5||4|7+|1|50mm||
000001024|1|Thousand Sons Heldrake|20+"|9|3+|5||12|6+|0|120 x 92mm flying base||
000001025|1|Thousand Sons Land Raider|10"|12|2+|-||16|6+|5|Use model||
000001026|1|Thousand Sons Predator Destructor|10"|10|3+|-||11|6+|4|Use model||
000001027|1|Thousand Sons Vindicator|10"|11|2+|-||11|6+|3|Use model||
000001028|1|Thousand Sons Forgefiend|8"|10|3+|5||12|6+|3|120 x 92mm||
000001029|1|Thousand Sons Maulerfiend|10"|10|3+|5||12|6+|3|120 x 92mm||
000001030|1|Thousand Sons Defiler|8"|10|3+|5||14|6+|5|Use model||
000001031|1|Magnus The Red|14"|11|2+|4||16|5+|6|100mm||
000001032|1|Ahriman|6"|4|3+|4||5|6+|1|40mm||
000001033|1|Exalted Sorcerer|6"|4|3+|4||5|6+|1|32mm||
000001034|1|Tzaangors|6"|4|6+|6||1|7+|2|32mm||
000001035|1|Scarab Occult Terminators|5"|5|2+|4||3|6+|1|40mm||
000001036|1|Thousand Sons Daemon Prince|7"|10|2+|4||10|6+|3|60mm||
000001037|1|Death Guard Chaos Lord|5"|5|3+|4||5|6+|1|40mm||
000001038|1|Death Guard Chaos Lord In Terminator Armour|4"|6|2+|4||6|6+|1|40mm||
000001041|1|Death Guard Sorcerer In Terminator Armour|4"|6|2+|4||5|6+|1|40mm||
000001043|1|Death Guard Cultists|6"|3|6+|-||1|7+|1|25mm||
000001044|1|Plague Marines|5"|5|3+|-||2|6+|2|32mm||
000001045|1|Death Guard Possessed|9"|6|3+|5||3|6+|1|32mm||
000001046|1|Death Guard Helbrute|6"|9|2+|-||8|6+|3|60mm||
000001047|1|Death Guard Rhino|12"|9|3+|-||10|6+|2|Use model||
000001048|1|Death Guard Chaos Spawn|8"|5|4+|-||4|7+|1|50mm||
000001049|1|Death Guard Land Raider|10"|12|2+|-||16|6+|5|Use model||
000001050|1|Death Guard Predator Annihilator|10"|10|3+|-||11|6+|4|Use model||
000001051|1|Death Guard Defiler|8"|10|3+|5||14|6+|5|Use model||
000001052|1|Death Guard Daemon Prince|7"|11|2+|4||10|6+|3|60mm||
000001053|1|Typhus|5"|6|2+|4||6|6+|1|50mm||
000001054|1|Lord Of Contagion|4"|6|2+|4||6|6+|1|50mm|40mm if equipped with manreaper and orb of desiccation|
000001055|1|Malignant Plaguecaster|5"|5|3+|-||4|6+|1|32mm||
000001056|1|Poxwalkers|4"|4|7+|-||1|8+|1|25mm||
000001057|1|Foetid Bloat-drone|10"|9|3+|5||10|6+|3|60mm||
000001058|1|Noxious Blightbringer|5"|5|3+|-||4|6+|1|40mm||
000001094|1|Chaos Cerastus Knight Acheron|12"|12|3+|5|* Against ranged attacks only|25|6+|10|170 x 109mm||
000001095|1|Chaos Cerastus Knight Lancer|14"|12|3+|4||25|6+|10|170 x 109mm||
000001096|1|Chaos Cerastus Knight Castigator|12"|12|3+|5|* Against ranged attacks only|25|6+|10|170 x 109mm||
000001097|1|Chaos Cerastus Knight Atrapos|12"|12|3+|5||25|6+|10|170 x 109mm||
000001098|1|Chaos Questoris Knight Magaera|10"|12|3+|5||22|6+|10|120 x 92mm||
000001099|1|Chaos Acastus Knight Porphyrion|8"|13|2+|5|* Against ranged attacks only|30|6+|10|Use model||
000001100|1|Chaos Questoris Knight Styrix|10"|12|3+|5||22|6+|10|120 x 92mm||
000001104|1|Karanak|12"|4|7+|4||5|7+|1|75 x 42mm||
000001105|1|Skarbrand|8"|11|4+|4||20|6+|5|100mm||
000001106|1|Skulltaker|6"|4|4+|4||5|7+|1|40mm||
000001111|1|Rendmaster On Blood Throne|8"|9|4+|4||9|7+|3|120 x 92mm||
000001112|1|Flesh Hounds|12"|4|7+|5||2|7+|1|60 x 35mm||
